amount,category,type,hour,location_distance,previous_transactions,is_fraud
42740.09,Salary,EXPENSE,10,432.55,13,0
68033.34,Bills,INCOME,11,517.26,1,1
22493.59,Shopping,INCOME,17,448.86,0,1
33503.85,Entertainment,EXPENSE,23,225.63,13,0
91703.67,Travel,EXPENSE,10,310.81,20,1
2835.88,Bills,EXPENSE,18,797.22,10,1
24753.0,Bills,EXPENSE,10,832.52,10,1
23712.53,Food,INCOME,3,625.35,18,1
97453.83,Food,INCOME,10,890.08,2,1
6247.12,Other,INCOME,1,301.47,20,1
10227.67,Food,EXPENSE,9,849.93,12,1
75208.74,Travel,EXPENSE,14,383.92,13,1
61942.09,Shopping,EXPENSE,14,517.21,18,1
10313.83,Entertainment,EXPENSE,18,789.42,6,1
12641.86,Entertainment,INCOME,11,421.01,19,0
24353.09,Other,EXPENSE,1,127.68,18,1
95976.15,Other,INCOME,9,583.67,17,1
14783.54,Shopping,INCOME,9,368.83,0,0
65784.8,Travel,EXPENSE,7,507.11,17,1
42235.01,Travel,EXPENSE,20,908.5,2,1
66802.62,Salary,INCOME,19,692.41,18,1
33599.27,Shopping,INCOME,10,162.28,14,1
91058.78,Bills,EXPENSE,0,638.77,7,1
21353.19,Bills,INCOME,23,375.91,12,0
98988.31,Shopping,EXPENSE,2,357.89,17,1
29093.09,Travel,INCOME,1,975.31,6,1
17455.95,Shopping,EXPENSE,10,847.53,7,1
2198.13,Other,INCOME,3,20.99,4,1
78752.04,Food,INCOME,6,305.07,7,1
37266.41,Travel,INCOME,22,65.38,4,0
13122.93,Travel,EXPENSE,17,378.2,11,0
42982.54,Salary,EXPENSE,1,763.08,18,1
53570.06,Other,EXPENSE,10,247.17,20,1
87291.51,Other,INCOME,6,727.3,15,1
61507.9,Travel,INCOME,20,751.14,11,1
46453.51,Shopping,INCOME,16,694.51,15,1
58139.61,Salary,EXPENSE,6,219.53,6,1
23476.74,Travel,INCOME,13,888.71,18,1
84251.04,Shopping,EXPENSE,4,751.62,9,1
35189.92,Entertainment,EXPENSE,14,512.26,10,0
46781.72,Bills,INCOME,15,317.02,12,0
44196.77,Shopping,EXPENSE,11,901.48,9,1
51303.46,Salary,EXPENSE,8,926.61,3,1
36055.68,Entertainment,EXPENSE,10,196.65,10,0
74533.87,Other,INCOME,6,705.64,4,1
75250.72,Salary,INCOME,0,770.08,9,1
78323.67,Bills,INCOME,18,757.81,0,1
51289.06,Other,EXPENSE,12,227.58,6,1
51606.74,Other,INCOME,23,814.4,10,1
31341.83,Travel,INCOME,22,417.69,14,0
55866.76,Shopping,EXPENSE,18,873.75,9,1
1017.63,Other,INCOME,10,225.49,13,0
40366.7,Other,INCOME,10,586.96,18,0
92218.31,Travel,INCOME,18,629.84,19,1
57409.18,Bills,INCOME,6,948.69,2,1
18874.45,Food,INCOME,18,961.94,20,1
9369.49,Food,EXPENSE,1,826.47,19,1
18709.88,Food,INCOME,9,205.89,9,0
7044.44,Food,INCOME,16,11.05,10,0
41115.58,Travel,EXPENSE,4,536.45,15,1
38929.84,Other,EXPENSE,4,870.45,9,1
70981.68,Bills,EXPENSE,19,575.09,9,1
50272.38,Salary,INCOME,8,201.7,4,1
82467.03,Entertainment,EXPENSE,16,328.89,18,1
46047.45,Entertainment,EXPENSE,23,91.1,20,0
45657.85,Salary,INCOME,12,613.03,5,0
17998.83,Entertainment,INCOME,14,384.66,5,0
9598.64,Salary,EXPENSE,7,885.54,5,1
62826.92,Shopping,EXPENSE,22,726.54,6,1
41157.25,Other,EXPENSE,11,76.53,3,0
77962.09,Bills,INCOME,5,252.77,16,1
2720.45,Salary,INCOME,12,343.66,12,0
39697.6,Food,INCOME,3,709.1,4,1
74880.17,Bills,INCOME,2,82.55,7,1
43800.48,Bills,INCOME,5,170.59,0,1
17764.8,Food,INCOME,5,77.59,0,0
15391.97,Shopping,EXPENSE,6,714.41,17,1
69689.4,Other,EXPENSE,12,690.35,14,1
516.34,Other,INCOME,6,928.82,11,1
20038.57,Food,INCOME,0,989.29,10,1
68011.95,Food,EXPENSE,3,796.92,5,1
4449.05,Entertainment,EXPENSE,10,322.68,20,0
20751.58,Entertainment,INCOME,13,120.8,6,0
32370.61,Food,INCOME,20,316.24,12,0
22048.61,Salary,INCOME,20,623.91,1,0
21895.16,Shopping,INCOME,3,712.53,18,1
95905.52,Entertainment,INCOME,20,696.32,4,1
63553.58,Salary,INCOME,21,482.13,10,1
91214.72,Bills,INCOME,16,640.59,7,1
70477.68,Food,EXPENSE,0,616.35,3,1
73804.43,Other,EXPENSE,19,79.39,4,1
29696.64,Travel,INCOME,6,642.04,7,0
59827.62,Bills,INCOME,4,278.13,20,1
4008.77,Other,INCOME,20,812.71,0,1
73300.67,Shopping,EXPENSE,6,539.31,7,1
69642.99,Travel,INCOME,16,321.64,14,1
6508.46,Bills,EXPENSE,6,52.11,4,0
12599.82,Travel,EXPENSE,7,507.42,13,0
31180.72,Salary,EXPENSE,7,424.02,19,0
28571.02,Bills,EXPENSE,8,862.43,15,1
97256.89,Bills,INCOME,5,470.71,13,1
73506.06,Other,EXPENSE,15,19.81,12,1
8369.12,Shopping,EXPENSE,17,726.65,8,1
30619.44,Shopping,INCOME,17,606.03,2,1
71500.59,Travel,EXPENSE,6,4.18,16,1
37457.07,Bills,INCOME,12,970.49,11,1
30815.69,Entertainment,EXPENSE,13,885.0,3,1
56582.58,Travel,INCOME,8,771.27,11,1
48887.75,Salary,INCOME,22,57.7,12,0
73579.64,Travel,INCOME,1,921.47,11,1
67658.74,Salary,EXPENSE,8,605.44,4,1
60234.83,Salary,EXPENSE,0,116.73,2,1
91692.44,Bills,EXPENSE,16,909.95,13,1
42715.8,Salary,INCOME,16,967.68,12,1
73406.65,Other,EXPENSE,3,636.18,11,1
26938.68,Travel,INCOME,22,308.1,5,0
207.78,Food,INCOME,16,416.84,9,0
17104.89,Shopping,EXPENSE,22,134.33,15,0
94850.91,Bills,EXPENSE,5,200.94,5,1
19228.89,Other,INCOME,14,626.84,19,0
63661.54,Food,INCOME,2,377.73,8,1
3015.18,Travel,INCOME,15,672.8,3,1
26644.77,Food,EXPENSE,3,211.07,0,1
52031.41,Other,INCOME,15,473.23,10,1
33688.19,Salary,INCOME,10,816.85,11,1
37874.65,Food,INCOME,10,806.27,0,1
69845.91,Salary,EXPENSE,0,601.91,16,1
69941.5,Other,EXPENSE,11,451.92,15,1
66039.83,Food,INCOME,0,633.78,1,1
73594.51,Salary,INCOME,7,606.76,12,1
79406.34,Shopping,INCOME,15,986.87,3,1
29421.6,Travel,EXPENSE,16,876.23,16,1
49817.61,Food,INCOME,21,996.3,14,1
44656.36,Food,INCOME,21,540.67,7,0
75337.59,Salary,EXPENSE,3,434.89,0,1
92900.29,Bills,INCOME,7,719.17,15,1
67076.6,Salary,EXPENSE,17,633.55,15,1
69193.87,Other,EXPENSE,18,766.34,19,1
34355.42,Salary,INCOME,20,642.1,17,0
43724.38,Travel,EXPENSE,8,115.69,2,0
34056.77,Entertainment,EXPENSE,23,942.01,18,1
85340.36,Bills,EXPENSE,9,61.88,17,1
38845.15,Bills,INCOME,11,797.52,4,1
60181.68,Travel,EXPENSE,12,9.19,14,1
81623.99,Shopping,EXPENSE,15,679.98,4,1
14629.78,Salary,EXPENSE,19,320.14,16,0
12390.23,Other,INCOME,20,828.69,15,1
96651.25,Food,INCOME,4,827.88,6,1
93446.57,Travel,EXPENSE,5,856.78,12,1
81510.47,Other,EXPENSE,0,547.94,10,1
47368.49,Shopping,INCOME,12,71.82,9,1
92310.23,Salary,INCOME,3,130.9,18,1
5459.62,Salary,INCOME,14,654.63,18,0
69610.75,Shopping,EXPENSE,6,218.14,6,1
962.79,Salary,EXPENSE,21,785.5,4,1
98270.92,Salary,EXPENSE,1,96.05,15,1
5294.59,Entertainment,INCOME,18,433.82,4,0
40429.2,Food,EXPENSE,7,396.64,9,0
95457.81,Salary,INCOME,22,991.16,2,1
86496.33,Salary,INCOME,8,632.33,14,1
12044.04,Food,EXPENSE,15,641.41,16,0
58705.71,Entertainment,INCOME,8,693.73,3,1
18150.6,Bills,INCOME,9,571.42,3,0
71391.13,Other,EXPENSE,12,812.87,0,1
81755.41,Other,INCOME,2,518.9,18,1
81891.82,Salary,EXPENSE,6,965.68,3,1
59930.31,Travel,EXPENSE,17,447.23,10,1
12925.16,Travel,EXPENSE,2,562.5,1,1
12515.48,Shopping,INCOME,17,171.6,0,0
4664.32,Entertainment,INCOME,21,534.1,4,0
69525.39,Entertainment,INCOME,19,538.21,6,1
66278.57,Food,EXPENSE,1,188.07,9,1
21560.53,Travel,EXPENSE,18,359.07,4,0
42230.4,Entertainment,INCOME,8,381.78,5,0
8371.24,Shopping,INCOME,22,143.24,6,0
73280.86,Salary,EXPENSE,22,372.14,20,1
60514.22,Bills,EXPENSE,10,992.45,13,1
96403.57,Travel,EXPENSE,8,124.62,3,1
40707.79,Shopping,EXPENSE,11,909.25,8,1
79819.83,Shopping,EXPENSE,3,377.16,7,1
10545.02,Food,EXPENSE,16,728.33,9,1
80689.48,Food,INCOME,22,572.16,9,1
60766.32,Food,EXPENSE,10,946.51,12,1
80618.2,Salary,INCOME,15,592.31,8,1
51380.86,Travel,EXPENSE,4,378.8,8,1
72555.66,Shopping,EXPENSE,21,608.7,14,1
98625.32,Other,INCOME,16,286.82,13,1
71860.76,Other,EXPENSE,9,635.64,2,1
40681.15,Shopping,EXPENSE,20,79.47,7,1
16553.06,Food,EXPENSE,23,285.85,15,0
1118.93,Bills,EXPENSE,15,497.81,17,0
40576.87,Entertainment,EXPENSE,23,7.29,13,0
74979.31,Travel,EXPENSE,19,448.65,5,1
88198.96,Entertainment,EXPENSE,5,75.12,4,1
95250.74,Bills,INCOME,12,170.48,3,1
67922.36,Other,EXPENSE,9,299.18,9,1
273.32,Salary,INCOME,6,923.06,20,1
89347.11,Bills,INCOME,1,355.74,19,1
29870.15,Food,EXPENSE,11,890.2,5,1
935.93,Bills,INCOME,6,84.74,16,0
41101.37,Bills,EXPENSE,4,769.45,8,1
39566.11,Shopping,INCOME,13,892.19,17,1
10914.06,Bills,INCOME,5,139.87,13,1
88363.45,Salary,EXPENSE,3,189.57,1,1
42134.52,Shopping,EXPENSE,5,666.2,15,1
98293.72,Food,INCOME,15,550.12,4,1
76451.05,Bills,INCOME,4,109.73,3,1
12656.05,Shopping,EXPENSE,21,236.5,10,0
59728.83,Food,INCOME,15,289.47,15,1
42923.75,Entertainment,EXPENSE,23,511.24,7,0
11546.25,Shopping,EXPENSE,21,820.61,6,1
78282.56,Food,EXPENSE,6,992.55,18,1
14915.17,Food,EXPENSE,12,38.37,6,0
42658.98,Entertainment,EXPENSE,2,864.35,12,1
30679.27,Salary,EXPENSE,7,336.18,15,0
42735.93,Food,INCOME,3,269.25,8,1
71172.98,Travel,INCOME,1,181.75,0,1
74488.23,Travel,INCOME,15,280.16,19,1
18524.76,Bills,INCOME,10,304.36,3,0
68312.0,Other,EXPENSE,10,360.57,11,1
58911.66,Entertainment,INCOME,7,650.25,6,1
8768.76,Food,EXPENSE,20,742.59,3,1
96834.6,Salary,EXPENSE,6,704.66,3,1
54680.57,Shopping,INCOME,23,474.2,6,1
15409.55,Travel,EXPENSE,13,550.5,8,0
75947.55,Other,INCOME,11,448.48,3,1
6817.46,Bills,EXPENSE,5,599.15,4,0
95582.5,Food,EXPENSE,23,814.53,15,1
87032.06,Food,EXPENSE,14,750.73,12,1
39055.18,Entertainment,INCOME,6,184.07,5,0
59231.67,Food,INCOME,16,707.75,16,1
85254.88,Shopping,INCOME,17,119.1,7,1
23859.77,Food,EXPENSE,8,927.25,8,1
5199.42,Travel,EXPENSE,17,116.18,20,0
60535.7,Shopping,INCOME,2,946.43,17,1
13404.48,Entertainment,INCOME,10,985.26,20,1
82401.98,Travel,INCOME,5,255.99,0,1
97877.3,Other,EXPENSE,23,745.77,12,1
25771.65,Salary,EXPENSE,14,220.64,8,0
62998.58,Other,INCOME,4,446.06,13,1
90221.71,Food,INCOME,5,459.39,5,1
49077.31,Salary,EXPENSE,20,282.04,9,0
17814.54,Bills,EXPENSE,2,143.52,13,1
90917.65,Bills,EXPENSE,23,526.78,0,1
37818.62,Food,EXPENSE,0,763.45,20,1
13261.3,Other,EXPENSE,8,142.64,20,0
79250.42,Food,EXPENSE,17,736.13,10,1
8542.27,Travel,INCOME,18,892.39,5,1
47916.89,Travel,EXPENSE,17,692.04,20,0
2169.73,Food,EXPENSE,17,296.74,16,0
41557.7,Food,EXPENSE,0,226.68,12,1
65553.69,Travel,INCOME,21,884.22,3,1
99077.27,Travel,EXPENSE,9,357.31,19,1
36081.33,Food,EXPENSE,19,151.1,13,0
59981.17,Salary,INCOME,4,893.12,9,1
28736.21,Food,INCOME,15,661.73,8,0
71145.1,Food,EXPENSE,4,777.78,4,1
39090.43,Salary,INCOME,2,113.16,13,1
27883.69,Food,INCOME,4,181.87,12,1
49445.94,Bills,INCOME,19,793.5,10,1
94405.83,Travel,INCOME,13,549.34,17,1
53270.82,Other,EXPENSE,12,83.62,13,1
77670.43,Other,EXPENSE,22,87.25,11,1
99390.84,Food,INCOME,17,473.93,4,1
6004.76,Shopping,INCOME,4,294.7,4,1
55172.46,Bills,EXPENSE,6,827.82,1,1
11767.72,Salary,EXPENSE,12,733.08,13,1
70155.11,Salary,EXPENSE,15,837.44,5,1
36556.16,Food,EXPENSE,2,12.48,13,1
18283.33,Salary,EXPENSE,23,527.45,9,0
72269.61,Bills,EXPENSE,9,111.27,1,1
3260.3,Other,EXPENSE,16,160.35,12,0
68006.36,Bills,INCOME,18,501.87,7,1
15722.22,Food,INCOME,4,743.13,12,1
21929.7,Travel,EXPENSE,22,468.44,10,0
40539.73,Bills,EXPENSE,1,803.34,20,1
27028.46,Food,EXPENSE,11,603.19,10,0
28256.58,Entertainment,EXPENSE,2,211.91,0,1
30946.56,Entertainment,EXPENSE,20,929.2,7,1
97667.48,Entertainment,EXPENSE,18,986.49,15,1
31492.3,Shopping,EXPENSE,11,751.68,12,1
31481.52,Bills,INCOME,4,702.66,3,1
89656.29,Entertainment,EXPENSE,16,807.49,4,1
79617.13,Bills,EXPENSE,9,161.22,14,1
62613.97,Salary,EXPENSE,6,807.48,20,1
71869.53,Entertainment,INCOME,14,785.35,10,1
62365.9,Bills,EXPENSE,22,774.18,12,1
99701.1,Entertainment,EXPENSE,4,566.9,15,1
1543.43,Other,INCOME,17,867.53,2,1
45508.05,Travel,INCOME,5,68.16,18,0
8968.46,Travel,INCOME,8,986.14,8,1
44232.44,Travel,EXPENSE,18,488.26,11,0
40123.87,Other,EXPENSE,14,366.73,19,0
37399.63,Salary,INCOME,16,450.09,1,0
64404.49,Salary,EXPENSE,22,821.24,0,1
10574.54,Bills,EXPENSE,18,399.28,2,0
87422.18,Salary,EXPENSE,11,465.88,20,1
81838.06,Food,EXPENSE,5,731.78,12,1
19987.13,Shopping,EXPENSE,10,342.42,19,0
70243.97,Bills,EXPENSE,8,454.58,17,1
47023.26,Salary,EXPENSE,10,568.21,19,0
6286.91,Other,INCOME,13,978.56,6,1
86808.66,Other,INCOME,8,252.07,5,1
6972.44,Bills,EXPENSE,9,873.78,14,1
52501.56,Salary,INCOME,5,830.55,2,1
42882.0,Other,INCOME,5,198.61,13,0
53573.85,Other,EXPENSE,22,436.78,18,1
1042.65,Other,EXPENSE,2,722.72,18,1
32407.07,Other,INCOME,0,150.51,14,1
49969.59,Shopping,EXPENSE,21,406.39,16,1
98824.45,Other,EXPENSE,20,449.33,18,1
21901.35,Travel,INCOME,22,546.09,5,0
21652.92,Travel,EXPENSE,21,576.84,0,1
36411.26,Shopping,INCOME,16,819.05,3,1
64908.72,Bills,INCOME,13,351.73,17,1
97408.31,Shopping,EXPENSE,5,458.82,11,1
59509.44,Entertainment,INCOME,12,285.03,13,1
70224.16,Other,EXPENSE,2,805.94,3,1
1691.83,Bills,EXPENSE,15,749.94,19,1
10015.22,Bills,EXPENSE,21,289.9,13,0
77699.18,Entertainment,INCOME,3,195.56,15,1
35093.84,Other,INCOME,13,907.99,20,1
74128.25,Food,INCOME,7,507.56,8,1
26486.68,Other,INCOME,21,241.55,13,0
2673.37,Other,INCOME,16,820.03,19,1
17082.55,Entertainment,INCOME,7,555.74,12,0
64461.21,Other,EXPENSE,18,429.1,20,1
72824.86,Bills,INCOME,16,158.44,7,1
80127.14,Entertainment,EXPENSE,20,576.93,12,1
62750.47,Shopping,EXPENSE,10,203.76,2,1
1203.24,Other,EXPENSE,0,618.1,17,1
7923.31,Bills,EXPENSE,23,734.17,14,1
77770.1,Travel,EXPENSE,20,897.91,9,1
84053.66,Salary,INCOME,8,659.26,8,1
14419.76,Food,EXPENSE,3,459.13,19,1
14226.45,Shopping,EXPENSE,2,77.38,11,1
20836.85,Food,INCOME,0,413.75,15,1
7677.45,Salary,INCOME,12,889.71,20,1
80864.48,Travel,INCOME,0,903.64,18,1
85488.15,Food,INCOME,11,483.91,19,1
551.2,Entertainment,INCOME,3,192.85,0,1
51823.59,Other,EXPENSE,6,866.87,3,1
2998.29,Travel,EXPENSE,2,727.74,4,1
48183.41,Food,INCOME,22,551.5,9,0
80910.72,Bills,INCOME,6,250.09,6,1
88737.12,Shopping,INCOME,3,583.65,18,1
79420.25,Salary,INCOME,13,882.86,13,1
27203.81,Shopping,EXPENSE,19,383.05,6,0
37427.35,Salary,EXPENSE,14,167.25,1,0
25343.71,Bills,INCOME,19,826.69,20,1
53073.29,Bills,EXPENSE,3,179.9,10,1
18632.19,Travel,EXPENSE,6,656.95,11,0
31479.57,Food,INCOME,22,10.9,10,0
56768.55,Shopping,EXPENSE,17,66.24,9,1
52749.87,Food,INCOME,22,607.9,2,1
64644.7,Salary,INCOME,10,813.39,6,1
80282.38,Bills,EXPENSE,8,421.24,3,1
60163.0,Entertainment,INCOME,7,576.41,9,1
78341.4,Entertainment,EXPENSE,14,284.37,12,1
53370.03,Entertainment,EXPENSE,10,644.78,2,1
82993.53,Bills,INCOME,8,317.19,11,1
55667.2,Shopping,INCOME,19,47.07,9,1
45485.45,Other,EXPENSE,11,937.7,3,1
4831.03,Food,EXPENSE,3,993.54,13,1
8847.27,Salary,INCOME,17,989.57,1,1
78505.16,Food,EXPENSE,9,75.04,10,1
79173.2,Bills,INCOME,22,170.34,4,1
12034.15,Shopping,EXPENSE,18,887.8,13,1
66840.11,Entertainment,EXPENSE,18,477.93,15,1
32225.04,Salary,INCOME,7,91.8,9,0
35333.32,Other,EXPENSE,21,647.13,6,0
7560.68,Bills,EXPENSE,6,13.13,6,0
38536.77,Bills,EXPENSE,10,208.66,18,0
51417.04,Shopping,INCOME,22,454.02,4,1
10610.76,Travel,EXPENSE,11,385.58,14,0
51370.73,Other,INCOME,6,68.64,13,1
30749.32,Other,EXPENSE,4,460.95,3,1
24094.22,Bills,EXPENSE,8,28.59,16,0
26594.59,Entertainment,EXPENSE,11,431.47,4,0
43113.3,Shopping,EXPENSE,14,272.59,3,1
38283.13,Bills,EXPENSE,9,189.45,5,0
52979.8,Bills,INCOME,3,681.16,20,1
11152.73,Food,EXPENSE,1,575.23,7,1
10148.15,Travel,INCOME,12,392.89,7,0
87958.79,Shopping,INCOME,6,171.03,6,1
28834.86,Entertainment,INCOME,23,3.11,5,0
70062.1,Bills,INCOME,22,238.62,10,1
16706.21,Shopping,INCOME,4,962.24,15,1
2131.64,Shopping,EXPENSE,5,679.2,0,0
96955.68,Entertainment,EXPENSE,15,873.22,15,1
81901.7,Entertainment,INCOME,7,525.27,5,1
77536.89,Food,INCOME,23,335.68,15,1
98979.82,Shopping,INCOME,8,364.29,0,1
30148.35,Shopping,INCOME,3,269.94,16,1
2121.69,Bills,EXPENSE,21,994.09,11,1
24474.56,Salary,INCOME,11,206.31,2,0
95483.7,Salary,EXPENSE,8,877.14,17,1
44954.47,Entertainment,EXPENSE,8,910.33,11,1
39133.07,Bills,INCOME,9,190.57,18,0
34360.28,Entertainment,EXPENSE,13,795.33,18,1
79244.43,Shopping,EXPENSE,0,498.93,4,1
15065.26,Shopping,EXPENSE,9,486.82,2,0
1608.46,Food,EXPENSE,9,825.47,3,1
30616.86,Bills,INCOME,21,834.11,1,1
35054.31,Shopping,EXPENSE,2,713.2,4,1
19712.9,Entertainment,EXPENSE,9,218.86,15,0
24910.41,Salary,INCOME,13,399.11,3,0
92023.4,Entertainment,INCOME,5,563.91,10,1
13960.68,Other,EXPENSE,8,135.69,17,0
30534.36,Shopping,INCOME,17,183.37,13,1
52680.81,Salary,INCOME,16,934.88,11,1
42795.53,Bills,INCOME,14,27.67,17,0
76688.63,Food,EXPENSE,19,906.85,7,1
37342.46,Entertainment,INCOME,1,755.34,12,1
67024.42,Bills,INCOME,1,84.66,8,1
65005.5,Shopping,EXPENSE,9,565.44,10,1
12188.2,Entertainment,EXPENSE,22,205.06,4,0
96729.48,Travel,EXPENSE,21,639.67,4,1
31123.54,Food,INCOME,19,687.77,3,0
15344.56,Food,EXPENSE,7,204.29,15,0
50605.16,Bills,EXPENSE,3,299.92,15,1
82036.08,Other,INCOME,19,681.32,19,1
14667.32,Food,EXPENSE,4,818.55,7,1
74179.39,Entertainment,EXPENSE,15,480.47,9,1
95911.19,Bills,INCOME,21,275.18,12,1
10778.22,Bills,INCOME,4,27.97,14,1
38973.47,Entertainment,INCOME,1,645.11,19,1
90815.43,Shopping,EXPENSE,14,882.42,14,1
98176.28,Shopping,EXPENSE,11,902.55,16,1
6323.44,Salary,EXPENSE,11,655.93,18,0
71532.47,Other,EXPENSE,8,784.96,9,1
6867.6,Other,INCOME,12,962.56,19,1
57625.09,Entertainment,INCOME,4,697.77,18,1
34842.12,Entertainment,INCOME,2,44.93,5,1
66542.83,Bills,INCOME,10,759.91,7,1
88081.5,Salary,INCOME,13,922.38,1,1
11491.65,Other,EXPENSE,14,763.35,19,1
2994.47,Travel,INCOME,3,698.73,12,1
63757.71,Entertainment,EXPENSE,6,252.49,14,1
22588.38,Salary,EXPENSE,13,813.84,6,1
2473.09,Salary,EXPENSE,6,33.24,4,0
35988.12,Bills,EXPENSE,10,185.3,20,0
19054.18,Travel,INCOME,16,352.11,19,0
85349.49,Other,EXPENSE,14,427.51,12,1
56936.78,Travel,INCOME,3,117.93,7,1
54076.78,Food,EXPENSE,9,922.27,8,1
35822.62,Other,EXPENSE,9,74.78,18,0
51800.09,Entertainment,INCOME,12,618.64,17,1
11131.9,Bills,INCOME,20,29.98,10,0
20091.1,Other,EXPENSE,4,204.23,10,1
66350.45,Food,EXPENSE,15,72.91,18,1
70323.93,Other,EXPENSE,11,981.06,13,1
61262.64,Food,INCOME,4,270.51,1,1
49684.84,Travel,INCOME,13,477.59,7,0
5582.89,Other,EXPENSE,17,608.14,12,0
73805.46,Entertainment,INCOME,1,387.12,12,1
43000.38,Bills,EXPENSE,3,437.95,19,1
36802.48,Travel,INCOME,13,918.07,7,1
58882.32,Travel,INCOME,23,752.57,17,1
99094.33,Food,EXPENSE,1,76.61,4,1
28295.47,Shopping,INCOME,19,655.21,7,0
13015.14,Bills,INCOME,21,122.38,2,0
93840.1,Travel,INCOME,22,735.22,11,1
85883.08,Bills,INCOME,11,780.21,9,1
24458.37,Shopping,INCOME,22,541.42,3,0
90047.52,Salary,INCOME,8,78.45,4,1
52123.45,Shopping,EXPENSE,3,372.39,4,1
23548.77,Bills,INCOME,3,21.29,1,1
58844.6,Shopping,EXPENSE,1,279.09,19,1
1933.91,Bills,INCOME,14,44.42,6,0
66009.57,Entertainment,EXPENSE,21,305.15,17,1
93725.53,Entertainment,INCOME,8,810.24,18,1
2783.15,Salary,INCOME,13,782.61,1,1
55351.75,Salary,INCOME,17,463.5,18,1
76912.78,Shopping,EXPENSE,12,467.33,7,1
1567.58,Other,INCOME,2,998.81,17,1
57129.71,Food,INCOME,11,268.75,8,1
81035.44,Entertainment,EXPENSE,3,306.9,10,1
84766.89,Bills,INCOME,0,439.91,14,1
35904.43,Salary,EXPENSE,13,58.58,2,0
61052.34,Shopping,EXPENSE,14,179.8,8,1
49518.15,Travel,EXPENSE,4,871.24,20,1
11488.93,Food,EXPENSE,21,506.72,14,0
4243.46,Salary,EXPENSE,1,951.7,8,1
1661.01,Other,INCOME,17,718.32,19,1
10960.89,Entertainment,INCOME,3,511.04,7,1
57058.07,Other,INCOME,2,641.89,9,1
32687.73,Other,INCOME,10,975.1,20,1
94250.83,Shopping,EXPENSE,5,368.3,9,1
91191.67,Food,EXPENSE,19,211.48,10,1
78098.33,Entertainment,INCOME,6,378.84,18,1
72639.66,Bills,EXPENSE,2,958.63,7,1
99781.41,Salary,INCOME,17,733.05,16,1
60729.85,Salary,INCOME,10,269.18,18,1
24440.7,Travel,INCOME,7,455.82,3,0
44528.5,Bills,INCOME,2,351.98,16,1
36261.58,Bills,EXPENSE,14,786.3,7,1
82687.05,Travel,EXPENSE,13,674.11,4,1
79595.8,Shopping,INCOME,3,81.51,13,1
14882.44,Bills,EXPENSE,5,876.41,0,1
41891.63,Other,INCOME,23,101.0,1,0
2441.95,Travel,EXPENSE,4,514.9,16,1
90430.83,Shopping,EXPENSE,12,696.93,7,1
11947.01,Other,INCOME,18,608.76,3,0
4571.51,Salary,INCOME,14,910.67,20,1
83488.73,Shopping,INCOME,22,134.61,5,1
58976.34,Other,EXPENSE,4,895.6,18,1
67407.01,Bills,INCOME,10,438.59,16,1
27965.99,Other,EXPENSE,7,297.35,10,0
51791.88,Entertainment,INCOME,9,322.8,10,1
95353.69,Food,EXPENSE,13,519.13,18,1
31471.02,Shopping,INCOME,5,118.55,8,1
22402.15,Travel,INCOME,8,988.81,3,1
66660.04,Travel,EXPENSE,6,552.16,16,1
2783.64,Food,EXPENSE,0,488.37,0,1
28219.66,Entertainment,INCOME,23,444.82,4,0
29529.41,Food,EXPENSE,14,888.88,15,1
86457.05,Shopping,EXPENSE,11,803.64,7,1
32745.22,Entertainment,INCOME,8,453.46,16,0
7455.15,Salary,INCOME,1,433.38,16,1
84151.03,Salary,EXPENSE,20,627.29,7,1
37652.1,Travel,EXPENSE,8,470.12,15,0
73369.39,Shopping,EXPENSE,6,634.77,2,1
85722.82,Salary,EXPENSE,0,434.32,15,1
20894.27,Travel,EXPENSE,13,687.98,19,0
58410.7,Salary,INCOME,15,530.46,5,1
84077.15,Shopping,INCOME,15,796.75,12,1
54364.16,Shopping,EXPENSE,7,112.37,9,1
44744.93,Travel,INCOME,3,176.19,10,1
34790.48,Bills,EXPENSE,15,840.12,15,1
68737.83,Food,INCOME,8,507.49,13,1
77191.28,Shopping,INCOME,13,391.38,14,1
26106.9,Food,INCOME,15,728.19,10,1
4610.57,Bills,INCOME,7,572.51,5,0
77966.22,Food,INCOME,4,604.96,0,1
2160.71,Bills,EXPENSE,22,333.29,11,0
55311.77,Salary,EXPENSE,16,210.46,17,1
15741.44,Entertainment,INCOME,22,229.33,5,0
33183.64,Travel,EXPENSE,0,36.07,0,1
52679.21,Entertainment,INCOME,15,42.29,9,1
23039.02,Other,EXPENSE,1,272.46,3,1
37816.78,Bills,EXPENSE,23,876.62,2,1
50475.74,Salary,INCOME,0,14.74,17,1
15227.16,Salary,INCOME,6,831.47,9,1
42544.01,Salary,EXPENSE,9,274.05,6,0
96927.78,Entertainment,INCOME,12,291.24,2,1
40662.76,Shopping,INCOME,9,907.67,17,1
38271.71,Bills,INCOME,11,762.7,3,1
57809.05,Food,INCOME,7,447.09,15,1
64299.72,Shopping,EXPENSE,20,975.82,3,1
20807.8,Bills,EXPENSE,2,141.33,19,1
52364.4,Other,EXPENSE,1,767.41,8,1
74064.09,Other,EXPENSE,1,321.44,18,1
87149.22,Shopping,EXPENSE,17,794.7,17,1
95949.55,Travel,INCOME,14,708.87,16,1
73981.51,Salary,EXPENSE,3,425.7,2,1
